WikidataID,itemLabel,en_description,sitelinks
Q12505828,Pleret,"village in Bantul, Special Region of Yogyakarta, Indonesia",4
Q23992507,Santiago de Compostela,,1
Q37995,Yangon,former capital of Myanmar (Burma) and the current capital of Yangon Region,135
Q3046,Pforzheim,"city in Baden-Württemberg, Germany",88
Q393,Szczecin,"capital city of the West Pomeranian Voivodeship, Poland",135
Q42140,Jeonju,"capital of North Jeolla Province, South Korea",54
Q4439776,Staraya Ryazan,,6
Q36167,Huế,provincial city of Vietnam,83
Q736296,Câmpulung,"city in Argeș County, Romania",38
Q252772,Eichstätt,"town in Bavaria, Germany",57
Q132830,Douala,city in Cameroon,93
Q2936,Oldenburg,"town in Lower Saxony, Germany",89
Q726993,Cotabato City,city of the Philippines,35
Q3921,Harare,capital of Zimbabwe,156
Q15935383,Taipei Prefecture,a Qing dynasty prefecture in northern Taiwan,3
Q657168,Kotagede,"district in Yogyakarta City, Yogyakarta Province, Indonesia",11
Q200133,Chalkida,Greek city in Central Greece region,56
Q10840768,Đông Kinh,,2
Q13370,Massa,capital of the Province of Massa and Carrara,74
Q13637191,Q13637191,,1
Q860424,"Bilaspur, Himachal Pradesh",town,22
Q460736,Amadiya,"village in Dohuk, Kurdistan",27
Q44213,Paraná,capital city of the Argentine province Entre Ríos,69
Q235389,Hotan,"oasis town in the Tarim Basin, southwestern Xinjiang, an autonomous region in Western China",52
Q9326,Vientiane,capital of Laos,158
Q2887,Santiago,capital city of Chile,271
Q1206246,Xijing,Wikimedia disambiguation page,7
Q1026208,Dromahair,"village in County Leitrim, Ireland",13
Q1792,Gdańsk,city and capital of the Pomeranian Voivodeship on the Baltic coast of northern Poland,164
Q423654,Sukhothai Historical Park,"ruins of Sukhothai, literally ""Dawn of Happiness"", capital of the Sukhothai Kingdom in the 13th and 14th centuries, located near the modern city of Sukhothai, in what is now Northern Thailand",30
Q2359181,Mu'a,"small town in the Hahake (eastern) district on the island of Tongatapu, which was for centuries the ancient capital of Tonga",16
Q1000511,Tonk,human settlement,31
Q25272384,Boulébané,,2
Q145457,Kasimov,"human settlement in Kasimovsky District, Ryazan Oblast, Russia",57
Q8678,Rio de Janeiro,"city of the state of Rio de Janeiro, Brazil",288
Q2621094,Scythian Neapolis,"human settlement in Simferopol, Republic of Crimea, Ukraine",18
Q433112,Old Dongola,human settlement,21
Q1496614,Ngazargamu,"archaeological site in Yobe State, Nigeria",6
Q178531,Vidin,town in Bulgaria,63
Q35178,Kuwait City,capital of Kuwait,155
Q3753338,Zazana,,12
Q318156,Bahawalpur,"city in Punjab, Pakistan",55
Q18342086,Oyo-Ile,,0
Q623382,Killarney,"town in County Kerry, Ireland",43
Q1721,Wiesbaden,capital of the German state of Hesse,148
Q3549,Šibenik,"city in Šibenik-Knin County, Croatia",77
Q12225,Murcia,municipality in Spain,112
Q2421186,Hoa Lu,provincial city,14
Q621925,Tenkodogo,city in Burkina Faso,29
Q492461,kalathos,"type of ancient greek craftmanship, so often of pottery",14
Q45412,Coimbra,municipality and city in Portugal,100
Q29317,Bagan,ancient city in Myanmar,66
Q3718,Dakar,capital of Senegal,159
Q865988,Ancient Linzi,archaeological site in China,10
Q8826,Palma,"city in Mallorca and capital of the Balearic Islands, Spain",110
Q988400,Mangup,human settlement,29
Q1017225,Las Khorey,human settlement,15
Q1291235,Seuthopolis,city,22
Q180057,Lincoln,"cathedral city and county town of Lincolnshire, England, UK",81
Q809660,Barwani,city,24
Q6049,Kyzyl,city in eastern Russia,87
Q15899,Murska Sobota,city in Slovenia,56
Q2365632,Mukim Kota Batu,"mukim of Brunei-Muara District, Brunei",10
Q107401,Sivas,"city in Sivas province, Turkey",82
Q1865,Kuala Lumpur,capital of Malaysia,190
Q228405,Madurai,city of Tamil Nadu in southern India,84
Q1006363,Jagdalpur,city,32
Q23564,Podgorica,capital city of Montenegro,170
Q494521,Emmendingen,"city in Baden-Württemberg, Germany",49
Q1016908,Hobyo,human settlement,22
Q2572958,Sihor,"town in Gujarat state, India",17
Q565530,Hadamar,"town in Landkreis Limburg-Weilburg in Hesse, Germany",37
Q26397,Nitra,city in Slovakia,78
Q5747,Palmyra,"ancient city in Homs Governorate, Syria",96
Q38545,Adana,city in southern Turkey,116
Q208162,Patiala,"city in Punjab, India",58
Q6730,Perpignan,"commune in Pyrénées-Orientales, France",106
Q396372,Nin,town in the Zadar County of Croatia,36
Q2660634,Dinefwr,human settlement in United Kingdom,3
Q2087713,Morbi,"town in Gujarat state, India",31
Q200718,Bikaner,"city in Bikaner district, Rajasthan, India",69
Q2475401,Ordu-Baliq,archaeological site in Mongolia,17
Q1011073,Haicheng,"county-level city, in Liaoning, China",25
Q30974,Rouen,"commune in Seine-Maritime, France",142
Q573599,Weilburg,"town in Landkreis Limburg-Weilburg in Hesse, Germany",46
Q242992,Bhavnagar,"city in Gujarat, India",56
Q817218,Karur,"city and municipality in Tamil Nadu, India",40
Q3563897,Vyadhapura,ancient city of the Funan civilization,8
Q559834,Bharatpur,"city in Rajasthan, India",39
Q948245,Panyu District,district of China,22
Q806478,Bangassou,city in Central African Republic,35
Q528679,"Nyanza, Rwanda",city,31
Q11909,Vadodara,"city in Gurajat, India",84
Q2449,Mogadishu,capital of Somalia,157
Q176458,Til Barsip,"archaeological site in Aleppo, Syria",16
Q633308,Banswara,human settlement,33
Q272795,Tacna,"city of Peru, capital of Tacna region",57
Q4494881,Q4494881,,1
Q185336,Zugdidi,city in Georgia,68
Q646120,Arsamosata,human settlement,14
Q273877,Santarém,municipality and city in Portugal,55
Q429059,Dvin,ancient capital of early medieval Armenia.,31
Q127063,Kars,city in Turkey,83
Q749196,Castlebar,"county town of County Mayo, Ireland",39
Q208407,Oloron-Sainte-Marie,"commune in Pyrénées-Atlantiques, France",51
Q13417196,Yamato,,3
Q173219,Tournai,"city in Wallonia, Belgium",72
Q3561,Algiers,capital city of Algeria,186
Q35381,Colombo,commercial capital of Sri Lanka,145
Q1023257,Swellendam,"town in Western Cape, South Africa",30
Q483331,Iğdır,city in Turkey,76
Q1226281,Castell Dinas Bran,"castle and Site of Special Scientific Interest in Denbighshire, Wales",9
Q394443,Polonnaruwa,"town in Polonnaruwa District in the North Central Province, Sri Lanka",49
Q157032,Prilep,city in North Macedonia,64
Q1842,Luxembourg,capital city of the country Luxembourg,154
Q949381,Constantina,municipality of Spain,38
Q546010,Ani,"Ruined medieval Armenian city in Kars, Turkey, and UNESCO World Heritage Site",52
Q13630,Olbia,Italian commune in Sardinia,79
Q2971372,Château de la Roche,"ruined castle situated in the commune of Bellefosse in the Bas-Rhin département in Alsace, France",4
Q1740586,Kharan,"town in Balochistan, Pakistan",18
Q1018150,Samos,Greek town on the Samos island,15
Q29574695,Toletum,,3
Q585,Oslo,capital city of Norway,226
Q597,Lisbon,capital city of Portugal,242
Q14634,Makassar,"city and capital of South Sulawesi, Indonesia",82
Q21455,Rothau,"commune in Bas-Rhin, France",42
Q34261,Port-au-Prince,capital of Haiti,139
Q3492,Sumatra,"island in western Indonesia, westernmost of the Sunda Islands",137
Q488555,Baeza,municipality of Spain,59
Q489890,Kokand,city in Fergana Province in eastern Uzbekistan,65
Q2977093,Turbat,"city in Balochistan, Pakistan",27
Q1574289,Tzintzuntzan,locality in Mexico,26
Q2544533,Bairat,"human settlement in Jaipur district, Jaipur division, Rajasthan, India",16
Q814907,Beiting,archaeological site,10
Q13153,Ronda,City in the Spanish province of Málaga,72
Q13695,Tenochtitlan,former city-state in the Valley of Mexico,84
Q33186,Bobovac,Coronation place of the King of Bosnia,14
Q1024911,Welshpool,"town in Powys, Wales, UK",33
Q130800,Papeete,capital of French Polynesia,91
Q64010,Caspe,"municipality of Spain in Zaragoza Province, Aragon",39
Q904212,Fraga,municipality of Spain,45
Q23808339,history of Ulaanbaatar,history of the capital city of Mongolia,2
Q230104,Nakhchivan,capital of the Nakhchivan Autonomous Republic of Azerbaijan,75
Q171353,Esztergom,city in Hungary,76
Q241122,Comrat,city in Moldova,56
Q2632366,Shirakavan,"Medieval Armenian town, now in Turkey",14
Q12303,Jerez de la Frontera,"municipality and city in the Province of Cádiz, Spain",84
Q886602,Charkhari,"town in Mahoba district, Uttar Pradesh, India",20
Q1025253,Komańcza,village in Poland,16
Q828723,Niebla,municipality of Spain,35
Q1335,Montevideo,capital city of Uruguay,186
Q171810,Alanya,city and district in Turkey,78
Q16542320,Q16542320,,2
Q23988889,Alpuente,"populated place in Alpuente Municipality, Spain",2
Q1013537,Singaraja,"port town in Bali, Indonesia",28
Q168225,Hebron,city in the West Bank,87
Q1017223,Las Anod,city in Somalia,32
Q1741475,Kilwa Kisiwani,island in Tanzania,44
Q2006496,Wankaner,"city in Gujarat state, India",19
Q63092,Carmona,"municipality in Andalusia, Spain",47
Q4069441,Carcathiocerta,City of ancient Armenia,6
Q1773,Riga,capital and largest city of Latvia,208
Q193229,Visoko,city in central Bosnia and Herzegovina,50
Q1445232,Purchena,municipality in Spain,42
Q1615103,Paterna del Campo,municipality of Spain,37
Q258429,Jajce,town in Bosnia and Herzegovina,43
Q1218,Jerusalem,"city in Western Asia, claimed by bother Israel and the Palestinian Authority as its capital",268
Q1021154,Dambadeniya,ancient city in Sri Lanka,10
Q891622,Boltaña,municipality of Spain,33
Q24016460,Calatayud (city),"capital of Calatayud Municipality, Spain",1
Q81137,Olomouc,city in the Czech Republic,93
Q10400,Almería,city in Spain,97
Q609094,Morón de la Frontera,municipality of Spain,50
Q4200095,Q4200095,,1
Q15681,Jaén,city in Spain,78
Q803753,Beihan,human settlement,17
Q24012837,Viguera,"capital town of Viguera Municipality, Spain",2
Q14960,Brno,city in the Czech Republic,133
Q19817341,Bagaran,capital,8
Q854672,Nisa,capital of Parthian Empire,43
Q876557,Luganville,human settlement,36
Q1815885,Sitamau,human settlement,16
Q599416,Sinop,city in Turkey,74
Q1645723,Jérica,municipality of Spain,30
Q2312752,Vedeno,"village in Vedensky District, Russia",20
Q4803,Surakarta,"city in province Central Java (Jawa Tengah), Indonesia",66
Q201442,Kruševac,City in Serbia,61
Q2829005,Akhulgo,mountain in Russia,4
Q7052,Landau in der Pfalz,"town in Rhineland-Palatinate, Germany",57
Q200119,Ujjain,ancient city beside the Kshipra River in the central Indian state of Madhya Pradesh,70
Q1004667,Graaff-Reinet,"town in the Eastern Cape, South Africa",31
Q15760,Novorossiysk,Russian city,83
Q2468221,Rajgarh,"city in Rajgarh district, Madhya Pradesh, India",21
Q151920,Tiberias,city in Israel,71
Q7038,Girona,"municipality in Catalonia, Spain",97
Q1218954,Charleville,"commune in Marne, France",33
Q11445,Malang,"city in East Java, Indonesia",55
Q987366,Rueda,municipality of Spain,29
Q4155037,"Dargo, Vedensky District","village in Vedensky District, Russia",6
Q1479,Bordeaux,"city and commune in Gironde, New Aquitaine, France",163
Q12246,Huelva,"municipality and capital city of the Province of Huelva, Spain",84
Q1296393,Eflani,district of Turkey,20
Q749,Groningen,"capital city of the province of Groningen, the Netherlands",111
Q1518300,Hecatompylos,former city in Persia,19
Q159610,Vlorë,city in Albania,76
Q4451317,Tanusi,"human settlement in Khunzakhsky District, Republic of Dagestan, Russia",1
Q184023,Tarbes,"commune in Hautes-Pyrénées, France",67
Q156565,Belz,city in Ukraine,35
Q429215,Sangli,"city in Maharashtra, India",37
Q5724,Anuradhapura,city in Sri Lanka,69
Q319735,Goris,city in Armenia,57
Q10395,Cirebon,"city in West Java, Indonesia",46
Q1822,Baguio,city of the Philippines,58
Q8660,Karachi,"Provincial capital of Sindh, Pakistan",180
Q11854,Rajkot,"city in Gujarat, India",67
Q19151,Ternate,"city in North Maluku, Indonesia",28
Q7568,Yogyakarta,city and capital of Yogyakarta Special Region on Java in Indonesia,89
Q179585,Ploiești,"city in Prahova County, Romania",78
Q15090,Lleida,"city in Catalonia, Spain",86
Q1257589,Milot,commune in the Nord department of Haiti,17
Q927198,Londinium,settlement established on the current site of the City of London around AD 43,38
Q750968,Segorbe,municipality of Spain,37
Q3959004,"Shahpura, Bhilwara",tpwn in India,12
Q913429,Atil,human settlement,30
Q372840,Tavira,municipality and city in Portugal,47
Q24011146,Molina de Aragón,"capital of Molina de Aragón Municipality, Spain",2
Q5972,Medan,"city in North Sumatra, Indonesia",93
Q212546,Akhaltsikhe,town in Georgia,60
Q3897,Luanda,capital of Angola,163
Q16868,Laredo,"border city in Texas, USA",68
Q178948,Khajuraho,city,64
Q1141669,Olynthus,ancient city and archaeological site in Greece,29
Q317145,Ozurgeti,human settlement,49
Q25563103,Warangal,"city in Warangal district, Telangana, India",60
Q36493,Kon Tum,city of Vietnam; capital of Kon Tum Province,30
Q159457,Faro,municipality and city in Portugal,77
Q1385112,Tarki,"human settlement in Makhachkala, Republic of Dagestan, Russia",17
Q100707303,Washka,"city of Al-Andalus, current Huesca",0
Q155915,Kastamonu,city in Turkey,60
Q712144,de facto,"Latin expression, roughly meaning 'in fact' or 'in practice', often opposed to 'de jure', meaning 'by law'",90
Q24015194,Albarracín,"capital of Albarracín Municipality, Spain",2
Q160544,Heraklion,"city in the island of Crete, Greece",92
Q749180,Silves,municipality and city in Portugal,45
Q147089,Manisa,city in Turkey,78
Q197008,Bidache,"commune in Pyrénées-Atlantiques, France",39
Q28729,Kozhikode,city in Kerala,78
Q1874,Odesa,capital city of Odesa Oblast in southern Ukraine,140
Q10690,Cardiff,capital city of Wales,143
Q47571,Lorca,municipality of Spain,58
Q1514203,Mudhol,human settlement,21
Q2622424,Samandar,capital of Khazaria,13
Q18108,Utrecht,"town in KwaZulu-Natal, South Africa",17
Q565568,Tiaret,city in Algeria,43
Q79857,Konya,city in Turkey,111
Q312307,‘Aziziya,city in Libya,45
Q3342340,Njimi,"capital of the Kanuri state of Kanem (later Kanem-Bornu), north of Lake Chad, from the 11th through the 14th centuries",7
Q83247,Braga,municipality and city in Portugal,95
Q21197,Chișinău,capital of Moldova,179
Q1111521,Taleh,town in Sool province of Somalia,19
Q48087,Oderzo,Italian comune,51
Q3844,Brazzaville,capital of the Republic of the Congo,157
Q27860,Jayapura,"capital of Papua, Indonesia",67
Q236744,Tunja,capital of the Colombian department of Boyacá,51
Q168652,Hargeisa,second large town in somalia,85
Q1071519,Chhatarpur,"city in Madhya Pradesh, India",27
Q1861,Bangkok,capital of Thailand,229
Q1949346,Chamba,"town in Chamba district, Himachal Pradesh, India",29
Q205832,Corfu,Capital of the Greek island and municipality of Corfu,59
Q476222,Phra Nakhon Si Ayutthaya,province in central Thailand,46
Q3915,Antananarivo,capital of Madagascar,153
Q885996,Bluefields,Municiapitality and Capital of the South Caribbean Coast Autonomous Region,38
Q6580711,Thonburi,area of Bangkok,16
Q1192238,Datia,"city in Madhya Pradesh, India",28
Q199723,Balıkesir,city in Turkey,71
Q242587,Abéché,fourth largest city in Chad,56
Q498078,Bad Arolsen,"town in Landkreis Waldeck-Frankenberg in Hesse, Germany",43
Q575756,Antiguo Cuscatlán,human settlement,12
Q855228,Dali,"city in Yunnan, People's Republic of China",47
Q30002,Chengdu,"the capital of Sichuan Province, China",121
Q5779,Banda Aceh,"city in Aceh, Indonesia",67
Q11720,Shenyang,"capital of Liaoning Province, China",107
Q42666,Shaoxing,"prefecture-level city in Zhejiang, China",51
Q611444,Champasak,town,22
Q185591,Pietermaritzburg,"city in KwaZulu-Natal, South Africa",75
Q1063054,Charax Spasinu,"an ancient port at the head of the Persian Gulf, and the capital of the ancient kingdom of Characene",14
Q4537933,Jankent,archaeological site in Kazakhstan,9
Q393962,Agios Kirykos,"town on the island of Ikaria, Greece",20
Q867579,Phitsanulok,"city in Phitsanulok province, Thailand",47
Q20352,Neustrelitz,"town in Mecklenburg-Vorpommern, Germany",51
Q2305621,Thon Buri,"district in Bangkok, Thailand",21
Q203370,Phra Nakhon Si Ayutthaya,"city in Phra Nakhon Si Ayutthaya province, Thailand",56
Q59473,Užice,city in Serbia,61
Q116341,Korçë,city in Albania,69
Q1025459,Ruijin,county-level city,26
Q911727,Ahar,"city in East Azerbaijan Province, Iran",31
Q3037,Kathmandu,capital of Nepal,181
Q7420386,Santiago de Rubiás,"human settlement in Calvos de Randín, Ourense Province, Galicia, Spain",4
Q1011711,Phonsavan,town in Laos,25
Q36081,Qui Nhơn,provincial city of Vietnam,40
Q709753,Shangjing Longquanfu,archaeological site,6
Q938685,Khami,ruined city and capital of the Kingdom of Butua,36
Q34600,Kyoto,"city in Kyōto prefecture, Japan",196
Q1000918,Kaiyuan,county-level city in Tieling,20
Q475991,Venasque,"commune in Vaucluse, France",39
Q1818746,Sambor Prei Kuk,"archaeological Park in Kampong Thom, Cambodia",26
Q130391,Tây Ninh,city in Vietnam,31
Q5806,Mecca,Saudi Arabian city and capital of the Makkah province,205
Q583672,Assandh,city,16
Q631340,Talgarth,"town in Wales, United Kingdom",15
Q1709553,Chiang Saen,capital of the ancient Lanna kingdom in present-day Thailand,7
Q312209,Buea,town in Cameroon,38
Q484552,Algeciras,"municipality and city in the Province of Cádiz, Spain",77
Q389755,Pataliputra,ancient city in India,38
Q5069932,Champapuri,,5
Q741991,Dungarpur,city,28
Q180103,Ardabil,city in Iran,72
Q19153,Tidore,"city in North Maluku, Indonesia",19
Q1190403,Edessa,"ancient city in upper Mesopotamia, modern day Urfa, Southeast Turkey",35
Q5384,Kirov,"capital of Kirov Oblast, Russia",87
Q4401188,Rutul,village in Dagestan (Russia),12
Q134703,Marash,city in Turkey,77
Q378821,Inowrocław,city in north-central Poland,49
Q157961,Malmyzh,town in Russia,34
Q1236657,Kalevala,"urban locality in the Republic of Karelia, Russia",24
Q3579,Tripoli,capital city of Libya,171
Q413452,Suyab,ancient Silk Road city,21
Q4119512,Al-Qatta'i,human settlement in Egypt,7
Q945404,Silvan,district of Turkey,38
Q4872110,Cavad,"The village in administrative territorial unit of Sabirabad district of the Azerbaijan Republic.Historic Javad city and the center of Javad Khanate, which was later erected in the 18th century.",12
Q2482800,Buka,city in Papua New Guinea,20
Q4908712,Qalaqayın,The village in administrative territorial unit of Sabirabad district of the Azerbaijan Republic.The fortress of the historic Javad khanate and the center of the Mughan district.,28
Q513980,Niksar,town in Turkey,36
Q227641,Zuccarello,Italian comune,46
Q605455,Bonampak,human settlement in Mexico,24
Q10717,Georgetown,capital city of Guyana,129
Q7681007,Tambapanni,,2
Q13372,Carrara,city of Tuscany,82
Q5661720,Q5661720,,2
Q4139849,Hlynsk,"village in Romny Raion, Sumy Oblast, Ukraine",9
Q891,Nizhny Novgorod,capital of the Nizhny Novgorod Oblast and the Volga Federal District in central Russia,141
Q898,Omsk,city in Russia,129
Q4080203,Bashlykent,"village in Kayakentsky District, Russia",4
Q105060,Sosnowiec,City in Silesian Voivodeship with powiat rights of Poland,79
Q4078808,Barshamay,"human settlement in Kaytagsky District, Republic of Dagestan, Russia",4
Q1513,Nagpur,"city in Maharashtra, India",92
Q122803,Erzurum,city in Turkey,87
Q334,Singapore,sovereign city-state in Southeast Asia,303
Q855330,Donegal,"town in the Donegal County, Republic of Ireland",31
Q911,Ufa,"capital city of the Republic of Bashkortostan, Russia",129
Q3276135,Madzhalis,"village in Madzhalissky, Russia",12
Q985620,Dosso,urban commune in Niger,32
Q1891,Bologna,"city in Emilia-Romagna, Italy",142
Q2762100,North Nicosia,Turkish part of Nicosia,44
Q111176,Correggio,Italian comune,53
Q2900,Quito,capital of Ecuador,165
Q53139,Chita,city in eastern Russia,89
Q6247,Mantua,Italian comune,108
Q150996,Akkad,ancient Mesopotamian city,60
Q3906090,Pizhanka,"urban-type settlement in Kirov Oblast, Russia",10
Q52028,Chiang Mai,"city in Chiang Mai province, Thailand",78
Q675568,"Ha'il, Saudi Arabia",city in Saudi Arabia,44
Q49583,Olonets,town and administrative center of Olonetsky District of the Republic of Karelia in northwestern Russia,43
Q8673,Lagos,city in Nigeria,166
Q16683,Cardona,"town in Catalonia, Spain",42
Q1101969,Melitene,geographic entity in Turkey,6
Q35484,Medina,Saudi Arabian city,144
Q38807,Suva,capital city of Fiji,126
Q730929,Ostrowiec Świętokrzyski,city and urban gmina of Poland,46
Q43509,Guayaquil,city of Ecuador,106
Q2453776,Tsakhur,"human settlement in Rutulsky District, Republic of Dagestan, Russia",8
Q167677,Yavne,city in Israel,36
Q4208960,Kala-Koreysh,"village in Dakhadayevsky District, Russia",8
Q204365,Zinder,city in Niger,48
Q4477068,Urkarakh,"rural locality in Dagestan, Russia",8
Q3320844,Bida,"LGA and city in Niger State, Nigeria",18
Q1153296,Kumukh,"village in Laksky District, Russia",16
Q23438,Ashgabat,capital city of Turkmenistan,165
Q1000383,Ulan Hot,county-level city in China,24
Q605021,Maragheh,city in Iran,49
Q47066,Asiago,Italian comune,54
Q270968,Noli,Italian comune,52
Q1274372,Ye,"ancient Chinese city in what is now Linzhang County, Handan, Hebei Province and Anyang, Henan Province",16
Q79980,Varanasi,city on the banks of the Ganges in the Uttar Pradesh state of India,122
Q6452735,Kyunglung,"village in Tibet, capital city of the ancient kingdom of Zhangzhung.",2
Q712521,Basavakalyan,City in Bidar district,28
Q1492,Barcelona,"capital of Catalonia, Spain",224
Q156093,Taxila,"archaeological site of the ancient Indian subcontinent, at Taxila, Punjab, Pakistan",62
Q3826507,Sighnaq,Capital of Uzbek and Kazakh khanates,10
Q857618,Yarkant County,"county in Xinjiang, People's Republic of China",38
Q1780350,Faridkot,city,34
Q799021,Badhan,town in Somaliland,15
Q412092,Q412092,,1
Q191771,Manyakheta,"village in Karnataka, India",8
Q639839,Pereiaslav,city of Ukraine,46
Q10885263,Fuqi,capital of Tuyuhun,1
Q617987,Dhar,city,33
Q157053,Chernihiv,capital city of Chernihiv Oblast in northeastern Ukraine,95
Q974580,Hui County,county,18
Q848638,Turkistan,city in Kazakhstan,58
Q2180,Malolos,city of the Philippines and capital of the province of Bulacan,33
Q188894,Kütahya,"city and central district in Kütahya, Turkey",78
Q16629473,Djibo,village in Burkina Faso,4
Q899695,Fort Kent,"town in Maine, USA",31
Q13373,Lucca,"city and comune in Tuscany, Central Italy",100
Q13375,Pisa,"city in Tuscany, Central Italy",144
Q986429,Olmaliq,city in Uzbekistan,29
Q3642,Asmara,capital city of Eritrea,154
Q1783374,Gremi,human settlement,20
Q133315,Limerick,city in Ireland in the province of Munster,90
Q2724826,Barwick in Elmet,village in United Kingdom,11
Q12518016,Sungguminasa,"village in Gowa, South Sulawesi Province, Indonesia",5
Q1021013,Jaʿār,human settlement,13
Q5206,Stavropol,"capital city of Stavropol Krai in North Caucaus, Russia",93
Q989846,Siewierz,town of Poland,25
Q1194868,Kosambi,human settlement,18
Q117181,Elbistan,district of Turkey,36
Q2441398,Sangrur,"city in Sangrur district, Patiala division, Punjab, India",29
Q2996387,Saray-Jük,Medieval city of the Golden Horde,13
Q167551,Gitega,capital of Burundi,81
Q845266,Yanjing,"capital of Yan state, China",4
Q6204,1514,year,149
Q167152,Soissons,"commune in Aisne, France",79
Q192119,Sisak,town in Croatia,56
Q473919,Lectoure,"commune in Gers, France",36
Q18970,Ambon,"city in Maluku, Indonesia",51
Q275635,Massawa,city on the Red Sea coast of Eritrea,58
Q11194,Sarajevo,capital city of Bosnia and Herzegovina,194
Q194164,Krujë,town in north central Albania,56
Q4445604,Sozak,"place in South Kazakhstan Region, Kazakhstan",8
Q868527,Turpan,"prefecture-level city in Xinjiang, China",62
Q1012620,Jinghong,county-level city,29
Q640649,Huliaipole,City in Zaporizhia Oblast (province) of Ukraine,36
Q44840,Viljandi,town in southern Estonia,68
Q3074800,"Fofa, Ethiopia",town in Ethiopia,3
Q1027291,Vryburg,South African city,19
Q61750,Tiwanaku,ancient city in Bolivia,67
Q1201619,Fengxiang District,"district of Baoji, Shaanxi, China",14
Q1023116,Kuqa,"county-level city in Xinjiang, China",22
Q1517913,Qarnawu,human settlement,4
Q200061,Prizren,City in Kosovo,69
Q4221914,Kirjasalo,"abandoned village in Leningrad Oblast, Russia",9
Q1266413,Dewas,city in India,38
Q199605,Guwahati,Largest city in the Indian state of Assam and also the largest metropolis in Northeastern India,80
Q372773,Raipur,"capital of Chhattisgarh, India",85
Q6960987,Nallur,"town in the district of Jaffna, Sri Lanka",6
Q421648,Aksu,county-level city of Xinjiang,39
Q2543468,Samthar,"human settlement in Jhansi district, Jhansi division, Uttar Pradesh, India",20
Q136217,Erzincan,city in Turkey,72
Q816666,Benabarre,municipality of Spain,32
Q200311,Mathura,city in India,70
Q2320876,Seiyun,city in Yemen,22
Q2846091,Anderaccha,town in southwestern Ethiopia,2
Q1231790,Ypati,village in Greece,19
Q320049,Agadez,urban commune in Niger,58
Q2427885,Banavasi,"village in Uttara Kannada District, Belgaum division, Karnataka, India",19
Q1439847,Foumban,commune of Cameroon,23
Q1950091,Mottama,"small town in the Thaton district of Mon State, Myanmar, the first capital of the Hanthawaddy Kingdom in the 13th and 14th centuries, and an entrepôt of international repute until the mid-16th century",19
Q268,Poznań,capital of the Greater Poland Voivodeship in west-central Poland,132
Q5296932,Donwun,located near Mottama is a former capital of Hanthawaddy Kingdom for about six years between 1363 and 1369,3
Q2774361,Sachin,"town in Gujarat state, India",12
Q41496,Thanjavur,"city in Tamil Nadu, India",56
Q3177676,Pakuan Pajajaran,,6
Q311204,Al-Fashir,"capital city of North Darfur, Sudan",36
Q3473230,Saqqa,town in southwestern Ethiopia,2
Q6441,Montpellier,"city in Hérault, France",132
Q203197,Kandy,"Capital city in Central Province, Sri Lanka",77
Q1395427,"Piet Retief, Mpumalanga",town,19
Q3396898,Abergwyngregyn,village in Wales,11
Q652376,Ratlam,city,43
Q41963,Sri Jayawardenepura Kotte,administrative capital of Sri Lanka,115
Q12690,Sort,"capital of the comarca of Pallars Sobirà, in the province of Lleida, Catalonia, Spain",32
Q673412,La Seu d'Urgell,municipality of Catalonia,47
Q184371,Sedan,"commune in Ardennes, France",72
Q13855,Vic,"municipality in the Barcelona Province, Catalonia",52
Q216835,Cap-Haïtien,city in Haiti,48
Q2861,Rostock,"city in Mecklenburg-Vorpommern, Germany",113
Q1781511,Kong,"town and sub-prefecture of Kong Department, Tchologo Region, Savanes District, Ivory Coast",15
Q3415,Ancona,Italian city in the Marches region,109
Q4727628,Alkalawa,"Town, formal Capital of Gobir State",3
Q2299018,Washim,"human settlement in Washim District, Amravati division, Maharashtra, India",22
Q781615,Nahan,"town in Sirmaur District, Himachal Pradesh, India",30
Q12489930,Kawali,,2
Q2048608,Pama,village in Burkina Faso,17
Q1106404,Sant Martí d'Empúries,Spanish locality,8
Q593695,"Panna, India",city,26
Q12586,Besalú,"town in the comarca of Garrotxa, in Girona, Catalonia, Spain",46
Q752348,Victoria,"capital of Gozo, an island of the Maltese archipelago",50
Q262579,Karaman,city in Turkey,71
Q377696,Kahone,human settlement,9
Q11286,Castelló d'Empúries,"municipality in the Alt Empordà in Girona, Catalonia",39
Q499111,Waitangi,"locality in Far North District, Northland Region, New Zealand",20
Q106428150,Ceuta during the Muslim domination,,0
Q5210142,"Dala, Nigeria","LGA and town in Kano State, Nigeria",9
Q1369593,Ad Dali',town in Yemen,22
Q178373,Rasht,"city in Gilan Province, Iran",75
Q28587,Hamadan,capital city of Hamadan Province of Iran,71
Q38453,Columbia,"capital of South Carolina, United States",116
Q200200,Assur,archaeological site in Iraq,69
Q6343,Carthage,city-state in the Antiquity,110
Q466614,Hatra,ancient Arab kingdom in northern Iraq,52
Q535534,Hohhot,prefecture-level city in China,77
Q173532,Byblos,"Mediterranean city in the Mount Lebanon Governorate, Lebanon",74
Q2868,Lima,capital of Peru,195
Q182984,Kano,city in Nigeria,76
Q214178,Nablus,city in the Palestinian National Authority,68
Q18986,Pergamon,Ancient Greek and Roman city in modern-day Turkey and UNESCO World Heritage Site,68
Q949907,Palanpur,"city in Gujarat state, India",30
Q622780,Aksu,city in Kazakhstan,23
Q1533,Caracas,capital of Venezuela,193
